"baseline_score","doc_id"
91.67,"3802"
96.67,"3803"
25.0,"3804"
85.71,"3805"
90.0,"3806"
63.16,"3807"
100.0,"3808"
89.47,"3809"
83.33,"381"
73.33,"3810"
65.62,"3811"
80.0,"3812"
88.89,"3813"
76.67,"3814"
88.89,"3815"
88.24,"3816"
80.0,"3817"
64.71,"3818"
91.67,"3819"
100.0,"382"
84.21,"3820"
91.67,"3821"
90.0,"3822"
87.5,"3823"
74.07,"3824"
90.0,"3825"
61.54,"3826"
60.0,"3827"
88.89,"3828"
86.36,"3829"
100.0,"383"
96.67,"3830"
70.0,"3831"
88.46,"3832"
75.0,"3833"
66.67,"3834"
80.0,"3835"
71.43,"3836"
97.3,"3837"
75.76,"3838"
64.44,"3839"
100.0,"384"
88.89,"3840"
80.95,"3841"
77.78,"3842"
81.82,"3843"
88.89,"3844"
87.5,"3845"
0.0,"3846"
75.0,"3847"
84.62,"3848"
100.0,"3849"
88.89,"385"
75.0,"3850"
81.82,"3851"
11.9,"3852"
76.19,"3853"
71.43,"3854"
60.0,"3855"
57.14,"3856"
86.96,"3857"
85.0,"3858"
77.78,"3859"
76.92,"386"
81.82,"3860"
84.62,"3861"
100.0,"3862"
94.44,"3863"
100.0,"3864"
86.36,"3865"
20.69,"3866"
100.0,"3867"
93.33,"3868"
50.0,"3869"
100.0,"387"
91.67,"3870"
85.71,"3871"
69.23,"3872"
88.0,"3873"
52.0,"3874"
50.0,"3875"
73.53,"3876"
71.88,"3877"
92.31,"3878"
86.67,"3879"
54.17,"388"
63.64,"3880"
91.67,"3881"
83.33,"3882"
70.83,"3883"
80.0,"3884"
70.0,"3885"
93.75,"3886"
71.43,"3887"
76.92,"3888"
62.5,"3889"
80.0,"389"
87.5,"3890"
78.26,"3891"
85.71,"3892"
100.0,"3893"
55.56,"3894"
100.0,"3895"
94.44,"3896"
100.0,"3897"
90.91,"3898"
90.0,"3899"
84.0,"39"
100.0,"390"
88.89,"3900"
72.73,"3901"
66.67,"3902"
75.0,"3903"
91.67,"3904"
88.24,"3905"
84.62,"3906"
75.0,"3907"
94.74,"3908"
94.44,"3909"
87.5,"391"
81.48,"3910"
93.33,"3911"
75.0,"3912"
76.47,"3913"
76.92,"3914"
94.44,"3915"
90.91,"3916"
85.71,"3917"
50.0,"3918"
69.23,"3919"
69.23,"392"
90.91,"3920"
94.12,"3921"
72.73,"3922"
50.0,"3923"
95.24,"3924"
92.31,"3925"
90.91,"3926"
81.82,"3927"
81.82,"3928"
72.73,"3929"
100.0,"393"
0.0,"3930"
86.96,"3931"
96.0,"3932"
66.67,"3933"
58.82,"3934"
51.85,"3935"
75.0,"3936"
79.49,"3937"
87.5,"3938"
71.43,"3939"
86.67,"394"
93.75,"3940"
87.5,"3941"
92.31,"3942"
85.71,"3943"
62.5,"3944"
76.47,"3945"
88.89,"3946"
81.48,"3947"
87.5,"3948"
77.78,"3949"
100.0,"395"
57.14,"3950"
75.0,"3951"
94.44,"3952"
76.92,"3953"
87.5,"3954"
62.5,"3955"
94.44,"3956"
75.0,"3957"
73.33,"3958"
84.62,"3959"
100.0,"396"
91.67,"3960"
90.0,"3961"
72.41,"3962"
84.62,"3963"
83.78,"3964"
82.35,"3965"
89.47,"3966"
78.57,"3967"
85.71,"3968"
71.43,"3969"
66.67,"397"
82.35,"398"
78.57,"399"
0.0,"3999"
78.85,"4"
50.0,"40"
100.0,"400"
0.0,"4000"
100.0,"401"
100.0,"402"
83.33,"403"
88.89,"404"
83.33,"405"
100.0,"406"
85.71,"407"
100.0,"408"
91.67,"409"
90.91,"41"
90.74,"410"
